DEPT_ID,DEPT_NAME,2014,2015,2016,2017,2018
KR-11,서울특별시,9975,9941,9843,9766,9705
KR-26,부산광역시,3452,3452,3447,3424,3400
KR-27,대구광역시,2475,2469,2461,2458,2450
KR-28,인천광역시,2862,2883,2907,2924,2939
KR-29,광주광역시,1505,1506,1502,1495,1493
KR-30,대전광역시,1553,1542,1536,1528,1518
KR-31,울산광역시,1151,1164,1166,1159,1154
KR-50,세종특별자치시,132,187,234,266,304
KR-41,경기도,12282,12423,12600,12786,13031
KR-42,강원도,1510,1517,1521,1521,1521
KR-43,충청북도,1578,1589,1601,1609,1619
KR-44,충청남도,2088,2103,2126,2153,2180
KR-45,전라북도,1829,1835,1835,1829,1820
KR-46,전라남도,1792,1797,1798,1795,1790
KR-47,경상북도,2671,2678,2683,2675,2674
KR-48,경상남도,3307,3330,3338,3339,3356
KR-49,제주특별자치도,583,599,618,635,653
